Serial Number,Device Name,Address,Lat,Long,April 2023,May 2023,June 2023,July 2023,August 2023,September 2023,October 2023,November 2023,December 2023,2022,,,,
20129865,#KC CITY OF SOMERVILLE #SN BOX #47 BIKE PATH GARDEN COMPOST,LEXINGTON AVE,42.39426,-71.1139,0,0,0,0,0,0,0,0,0,16,,,,
20129912,#KC CITY OF SOMERVILLE #SN BOX #43 74 GILMAN ST,74 GILMAN ST,42.38564,-71.0919,0,0,0,0,0,0,0,0,0,30,,,,
20129958,#KC CITY OF SOMERVILLE #SN BOX #44 BIKE PATH AGAINST WOODEN FENCE,74 Morrison Ave,42.39483,-71.1142,0,0,0,0,0,0,0,0,0,6,,,,
20130151,#KC CITY OF SOMERVILLE #SN BOX #38 BIKE PATH NEXT TO FURNITURE STORE,LEXINGTON AVE,42.39519,-71.1158,0,0,0,0,0,0,0,0,0,9,,,,
20130188,#KC CITY OF SOMERVILLE #SN BOX #45 GILMAN ST DOG PARK,GILMAN ST,42.38779,-71.0938,0,0,0,0,0,0,0,0,0,40,,,,
20130460,#KC CITY OF SOMERVILLE #SN BOX #48 BIKE PATH WHITE FENCE,65 Lexington Ave,42.39435,-71.114,0,0,0,0,0,0,0,0,0,32,,,,
20130454,# KC CITY OF SOMERVILLE # SN 99 DOVER ST EXTERIOR WALL,99 Dover St,42.39663,-71.1239,0,0,0,0,0,0,0,0,0,4,,,,
20057754,#KC CITY OF SOMERVILLE#SN 6 MACARTHUR SHED,6 Macarthur St,42.38908,-71.0878,0,0,0,0,0,0,0,0,0,24,,,,
21000319,#KC CITY OF SOMERVILLE #SN DAVIS SQUARE BOX #4 BY MBTA ACROSS FROM BLUE BIKES,Davis SQ,42.39701,-71.1231,0,0,0,0,0,0,0,0,0,50,,,,
20120463,#KC CITY OF SOMERVILLE #SN BOX # 19 MACARTHUR ST BEHIND ABANDONED HOUSE,11 Macarthur St,42.389,-71.0884,0,0,0,0,0,0,0,0,0,11,,,,
20126799,#KC CITY OF SOMERVILLE #SN GILMAN ST ALDRICH FENCE,GILMAN ST,42.385349,-71.091965,0,0,0,0,0,0,0,0,0,5,,,,
21004985,#KC CITY OF SOMERVILLE #SN MACARTHUR STREET,"	25 Macarthur St",42.3884861,-71.0888642,0,0,0,0,0,0,0,0,0,6,,,,
21004839,#KC CITY OF SOMERVILLE #SN BOW ST,50 Bow St,42.3813463,-71.0984776,0,0,0,0,0,0,0,0,0,1,,,,
21004921,#KC CITY OF SOMERVILLE #SN DAVIS SQ,Davis SQ,42.3967172,-71.1223151,0,0,0,0,0,0,0,0,0,3,,,,
21005519,#KC CITY OF SOMERVILLE #SN KUNG FU TEA,,,,0,0,0,0,0,0,0,0,0,2,,,,
