Description,Lat,Long
691 Broadway - Paperworks w/Recy 5503396,42.39992869,-71.11197265
698 Broadway - Salon CU w/Recy 5503395,42.39981343,-71.11216717
698 Broadway - Salon CU w/Recy 5503395,42.39981343,-71.11216717
714 Broadway,42.39999369,-71.11263326
734 Broadway (Tufts Market) w Recy 5502646,42.40025167,-71.11354167
734 Broadway (Tufts Market) w Recy 5502646,42.40025167,-71.11354167
850 College Ave  (Powder House Rotary Dunkin) w Recy 5502666,42.4006497,-71.11726208
850 College Ave  (Powder House Rotary Dunkin) w Recy 5502666,42.4006497,-71.11726208
87 Broadway @ Indiana w Recy 5502658,42.38740907,-71.08243301
87 Broadway @ Indiana w Recy 5502658,42.38740907,-71.08243301
9 Davis Square (Mike's) w Recy 5502644,42.39620492,-71.12212865
9 Davis Square (Mike's) w Recy 5502644,42.39620492,-71.12212865
93 Highland St - City Hall w/Recy 270622,42.3873061,-71.09798679
93 Highland St - City Hall w/Recy 270622,42.3873061,-71.09798679
99 Dover St - Candlewick Press,42.39640566,-71.12337771
At Depot In Storage Bay 16,42.39633998,-71.10711859
At Depot In Storage Bay 16,42.39633998,-71.10711859
Black hopper,42.3968,-71.1225
Bow St & Warren Ave (Bus Stop) w/Recy 5503398,42.38027419,-71.09662469
Bow St & Warren Ave (Bus Stop) w/Recy 5503398,42.38027419,-71.09662469
Broadway and Franklin - by Mudflat Pottery School,42.38725561,-71.08224963
Central & Highland,42.388417,-71.10363
Citizens bank,42.3969,-71.1227
Corner Of MaCarthur Street W/ 9520404,42.38935284,-71.08774021
Corner Of MaCarthur Street W/ 9520404,42.38935284,-71.08774021
Corner of Pearl & Franklin St,42.38463242,-71.08404552
Cross Walk At Lights Opposite Middlesex Federal Savings Bank,42.3966716,-71.12227176
Cross Walk At Lights Opposite Middlesex Federal Savings Bank,42.3966716,-71.12227176
Dunkin Donuts,42.395204,-71.121932
Elm St (Bankable Frontier) w/Recy 5503387,42.39577275,-71.12204816
Elm St (Bankable Frontier) w/Recy 5503387,42.39577275,-71.12204816
Elm St (Samara Yoga) w/Recy 5503399,42.39532371,-71.12177339
Elm St (Samara Yoga) w/Recy 5503399,42.39532371,-71.12177339
Elm St (Starbucks) w/Recy 5503390,42.39560276,-71.12213084
Elm St (Starbucks) w/Recy 5503390,42.39560276,-71.12213084
End of Lincoln Pkwy,42.37783333,-71.10004333
End of Lincoln Pkwy,42.37783333,-71.10004333
Formerly at Hoyt-Sullivan Playground Central St w Classic Recy 270664,42.39072274,-71.10166504
Formerly at Hoyt-Sullivan Playground Central St w Classic Recy 270664,42.39072274,-71.10166504
Foss Park Pool Parking Broadway w Recy 5502673,42.3901323,-71.08875103
Foss Park Pool Parking Broadway w Recy 5502673,42.3901323,-71.08875103
Foss Park Pool Parking Bus Stop w Recy 5502642,42.39064821,-71.08983196
Foss Park Pool Parking Bus Stop w Recy 5502642,42.39064821,-71.08983196
Highland & Grove w/5501098,42.39579722,-71.12052879
Highland Ave @ Willow w Recy 5502634,42.39399333,-71.11672086
Highland Ave @ Willow w Recy 5502634,42.39399333,-71.11672086
Hodgkins-Curtin Park Holland St w Recy 5400133,42.3997118,-71.1246129
JP licks,42.3969,-71.1226
Kennedy Elementary School 5 Cherry St Recy (Duo w/Trash 1503158),42.38941844,-71.11587191
Kennedy Elementary School 5 Cherry St Trash (Duo w/Recy 1502966),42.38944594,-71.11592019
Lincoln Park - Soccer Field - Argenziano School,42.37849,-71.098675
Lincoln Park - Soccer Field - Argenziano School,42.37849,-71.098675
Lincoln Park Basketball Court,42.37841,-71.10035833
Lincoln Park Basketball Court,42.37841,-71.10035833
Location Unknown - Not found during full inventory cleaning (classic Recy),42.3967172,-71.1223151
Location Unknown - Not found during full inventory cleaning (classic Recy),42.3967172,-71.1223151
"LP Pizza and Subs,  Corner of Highland And School Street",42.38685566,-71.0988989
"LP Pizza and Subs,  Corner of Highland And School Street",42.38685566,-71.0988989
Mossland @ Elm,42.38796,-71.11557
Moved - Construction (formerly @ 64 Union Square),42.37975351,-71.09538774
New - Stored at 1 Franey Rd,42.38235988,-71.09432533
North street veterans playground(6501570),42.4062069,-71.1313595
Not Found - frmly 64 Union Square,42.37968433,-71.09543681
Not found - no station at Broadway and Weston,42.403894,-71.128685
Not found - no station at Highland @ Grove (RITE AID),42.39565,-71.12021
Not found -no station at Main & Edgar,42.395293,-71.097762
Not found -no station at NW cor. B'way & Wheatland,42.39140561,-71.09090771
Not Found 4-24-2020 @ 69 Pearl St (Aggies) w Recy 5502672,42.38464874,-71.08405801
Not Found 4-24-2020 @ 69 Pearl St (Aggies) w Recy 5502672,42.38464874,-71.08405801
Not found at Highland @ School St-new double at this location,42.386817,-71.098519
Not Yet Installed - Presumed in Storage at 1 Franey Rd,42.3958218,-71.1074371
Not Yet Installed - Presumed in Storage at 1 Franey Rd,42.39581957,-71.10744649
Paddleboston -  32 Shore Dr,42.39801667,-71.09033
Plaza,42.395378,-71.122887
Popcorn,42.396694,-71.122306
Prospect Hill Park (w SC 6400912),42.38132115,-71.0931522
Prospect Hill Park (w SC 6400912),42.38132115,-71.0931522
Seven Hills Park Behind T -Trash (Duo w/Recy 170475),42.39699055,-71.12350497
Seven Hills Park Behind Train Station - Recy (Duo w/Trash 170393),42.39701919,-71.12340305
Somerville Ave & Carlton St (Bus Stop) w/Recy 55503389,42.38114803,-71.0996958
Somerville Ave & Carlton St (Bus Stop) w/Recy 55503389,42.38114803,-71.0996958
Station removed (fmly @ Elm & Day In Front of CVS (recy 270653),42.39628271,-71.12250354
Statue - center lamp post,42.3967,-71.1225
Statue Couple,42.396694,-71.122472
Subway - 271 Broadway,42.39161082,-71.09098434
Teele Sq. Market,42.4029,-71.1268
Trum Field,42.3978092,-71.1073443
Union Square Bus Stop (Machu Chicken) w/Recy 5503381,42.37997328,-71.09666606
Union Square Bus Stop (Machu Chicken) w/Recy 5503381,42.37997328,-71.09666606
WAREHOUSE,0,0
WAREHOUSE,0,0
WAREHOUSE,0,0
WAREHOUSE,0,0
WAREHOUSE,0,0
WAREHOUSE,0,0
WAREHOUSE,0,0
Wyatt St - Lincoln Park,42.37761,-71.10088833
Wyatt St - Lincoln Park,42.37761,-71.10088833
Yak & Yeti,42.4001,-71.1124
